Ferlinghetti Lawrence,Pictures of the Gone World,4,,
Ferlinghetti Lawrence,Poem for the Olympic Runners,2,,
Ferlinghetti Lawrence,Poesie Vecchie & Nuove,2,,
Ferlinghetti Lawrence,Poetry as Insurgent Art,7,,
Ferlinghetti Lawrence,Populist Manifestos,1,,
Ferlinghetti Lawrence,Routines,4,,
Ferlinghetti Lawrence,San Francisco Poems,3,,
Ferlinghetti Lawrence,Secret Meaning of Things,8,,
Ferlinghetti Lawrence,Seven Days in Nicaragua Libre,6,,
Ferlinghetti Lawrence,Seven Days in Nicaragua Libre,2,,
Ferlinghetti Lawrence,Starting in San Francisco,8,,
Ferlinghetti Lawrence,Tentative Description Of A Dinner Given To Promote The Impeachment Of President Eisenhower    ,3,,
Ferlinghetti Lawrence,These Are My Rivers: New & Selected Poems 1955-1993,1,,
Ferlinghetti Lawrence,Time Of Useful Consciousness,9,,
Ferlinghetti Lawrence,Tryannus Nix?,1,,
Ferlinghetti Lawrence,Unfair Arguments With Exitence, seven plays for a new theatre,2,
Ferlinghetti Lawrence,What is Poetry?,6,,
Ferlinghetti Lawrence,What Is Poetry?,2,,
Ferlinghetti Lawrence,When I Look At Pictures,10,,
Ferlinghetti Lawrence,Who Are We Now?,4,,
Ferlinghetti Lawrence,Wild Dreams of a New Beginning,2,,
Ferlinghetti Lawrence,Writing Across The Landscape: Travel Journals 1960-2010,2,,
Fink Larry,Beats,4,,
Fitch Noel Riley,Erotic Life of Anais Nin,7,,
Ford Hugh,Published in Paris: A Literary Chronicle,3,,
Ford James L.,Bohemia Invaded,5,,
Call. No.: PS1689.F8 B6 1895,NULL,10,,
Forte Robert editor,Timothy Leary: Outside Looking In,4,,
Foster Edward Halsey,Understanding the Beats,3,,
Fosdick Gertrude Christian,Out of Bohemia: A Study of Paris Student Life (1894),8,,
Franck Dan,Bohemian Paris: Picassp Modigliani Matisse And The Birth Of Modern Art,10,,
Franklin Benjamin V ed.,Recollections of Anais Nin by her Contemporaries,2,,
Frees Paul,Beatniks,10,,
French Warren,San Francisco Poetry Renaissance: 1955-1960,6,,
Fritz James,Beat Killer,8,,
Gage Maura,Identity Masculinity Femininity In The Poetry Of Gary Snyder,9,,
Gair Christopher,Beat Generation: A Beginners Guide,6,,
Garcia-Robles Jorge,At The End Of The Road: Jack Kerouac In Mexico,1,,
Garcia-Robles Jorge,Stray Bullet: William S. Burroughs In Mexico,3,,
Gautier Theophile,Selected Lyrics,6,,
Pub,isher: Yale University Press,NULL,8,
Gautier Theophile,Mademoiselle De Maupin,9,,
George-Warren Holly ed.,Rolling Stone Book of the Beats: the Beat Generation and American Culture,2,,
Gewitz Isaac,Beatific Soul : Jack Kerouac on the Road,8,,
Gewitz Isaac,Kerouac at bat : fantasy sports and the king of the beats,5,,
Giacosa Giuseppe & Illica Luigi,La  Bohème (Libretto in English),4,,
Giamo Ben,Kerouac the Word and the Way : Prose Artist as Spiritual Questor,2,,
Gibson Morgan,Kenneth Rexroth,10,,
Gifford Barry,Elegies,2,,
Gifford Barry,Jacks Book: Oral Biography of Jack Kerouac,6,,
Gifford Barry,Jacks Book: Oral Biography of Jack Kerouac,2,,
Gifford Barry,Jacks Book: Oral Biography of Jack Kerouac,4,,
Gifford Barry,Kerouacs Town,4,,
Gilmore Mikal,Allen Ginsberg1926-1997,9,,
Gilmore Mikal,Stories Done: Writings On The 1960s And Its Discontents,4,,
Ginsberg Allen,Airplane Dreams : Compositions from Journals,1,,
Ginsberg Allen,Allen Ginsberg (Voice Of The Poet Series),7,,
Ginsberg Allen,Allen Ginsberg Audio Collection,7,,
Ginsberg Allen,Allen Ginsberg Photographs,2,,
Ginsberg Allen,Allen Verbatim: Lectures on Poetry Politics Consciousness,8,,
Ginsberg Allen,Ankor Wat,4,,
Ginsberg Allen,Book of Martyrdom and Artifice : First Journals and Poems : 1937-1952,7,,
Ginsberg Allen,Collected Poems: 1947-1980,9,,
Ginsberg Allen,Collected Poems: 1947-1997,7,,
Ginsberg Allen,Composed on the Tongue,3,,
Ginsberg Allen,Cosmopolitan Greetings Poems 1986-1992,10,,
Ginsberg Allen,Death & Fame: Last Poems 1993-1997,10,,
Ginsberg Allen,Deliberate Prose: Selected Essays 1952-1995,3,,
Ginsberg Allen,Dont Fuck Up Your Revolution,7,,
Ginsberg Allen,Empty Mirror : Early Poems by Allen Ginsberg,9,,
Ginsberg Allen,Fall of America: Poems of These States 1965-1971,3,,
Ginsberg Allen,Family Business: Slected Letters Between a Father and Son,10,,
Ginsberg Allen,First Blues,7,,
Ginsberg Allen,Gates Of Wrath,5,,
Ginsberg Allen,Holy Soul Jelly Roll: Poems & Songs 1949-1993 Vol 1: Moloch!,5,,
Ginsberg Allen,Holy Soul Jelly Roll: Poems & Songs 1949-1993 Vol 2: Caw! Caw!,10,,
Ginsberg Allen,Holy Soul Jelly Roll: Poems & Songs 1949-1993 Vol 3: Ah!,6,,
Ginsberg Allen,Holy Soul Jelly Roll: Poems & Songs 1949-1993 Vol 4: Ashes & Blues,1,,
Ginsberg Allen,Howl: A Graphic Novel,6,,
Ginsberg Allen,Howl and Other Poems,3,,
Ginsberg Allen,Howl and Other Poems,7,,
Ginsberg Allen,Howl: Original Draft Facsimilie...,7,,
Ginsberg Allen,Howl: Original Draft Facsimilie...,10,,
Ginsberg Allen,Illuminated Poems,4,,
Ginsberg Allen,Indian Journals March 1962-May 1963: notebooks diary blank pages writings,8,,
Ginsberg Allen,Iron Horse,1,,
Ginsberg Allen,Journals Mid-Fifties 1954-1958,5,,
Ginsberg Allen,Journals: Early Fifties Early Sixties,1,,
Ginsberg Allen,Journals: Early Fifties Early Sixties,10,,
Ginsberg Allen,Kaddish and Other Poems 1958-1960,7,,
Ginsberg Allen,Letters of Allen Ginsberg,5,,
Ginsberg Allen,Lion For Real,7,,
Ginsberg Allen,Mind Breaths: Poems 1972-1977,2,,
Ginsberg Allen,No More To Say & Nothing To Weep For: An Elegy For Allen Ginsberg,10,,
Ginsberg Allen,Planet News 1961-1967,6,,
Ginsberg Allen,Plutonian Ode and Other Poems: 1977-1980,10,,
Ginsberg Allen editor,Poems For The Nation: A Collection Of Contemporary Political Poems,6,,
Ginsberg Allen,Reality Sandwiches,4,,
Ginsberg Allen,Selected Letters of Allen Ginsberg and Gary Snyder,8,,
Publ,isher: Counterpoint,NULL,9,
Ginsberg Allen,Selected Poems: 1947-1995,9,,
Ginsberg Allen,Snapshot Poetics: A Photographic Memoir of the Beat Era,3,,
Ginsberg Allen,Spontaneous Mind: Selected Interviews 1958-1996,8,,
Ginsberg Allen,To Eberhart from Ginsberg : a letter about Howl 1956...,2,,
Ginsberg Allen,Wait Till Im Dead: Uncollected Poems,3,,
Ginsberg Allen,White Shroud: Poems 1980-1985,7,,
Ginsberg Allen,Wichita Vortex Sutra,9,,
Ginsberg Allen,Your Reason & Blakes System,4,,
Gioia Ted,Birth And Death Of The Cool,10,,
Girodias Maurice,Frog Prince: An Autobiography,5,,
Girodias Maurice editor,New Olympia Reader,8,,
Girodias Maurice editor,Olympia Reader: selections from the Travellerâ€™s companion series,3,,
Girodias Maurice editor,Olympia Reader,4,,
Glass Loren,Grove Press The Evergreen Review And The Incorporation Of The Avant-Garde: Counter-Culture Colophon,8,,
Glass Philip,Words Without Music: A Memoir,6,,
Glassco John,Memoirs Of Montparnesse,7,,
Gluck Mary,Popular Bohemia: Modernism And Urban Culture In Nineteenth Century Paris,2,,
Goeman James Robert III,Happiness Is A Bi-Product Of Function: William Burroughs And The American Pragmatist Tradition,10,,
Goffman Ken,Counterculture Through The Ages: From Abraham To Acid House,5,,
Gold Herbert,Bohemia: Where Art Angst Love and Stron,4,,
Goldman Albert,Ladies and Gentlemen Lenny Bruce!!,4,,
Goldstein Lawrence M.,Changing Of The Guard: The Beat Journey From Rejection To Celebration,9,,
Goncourt Edmond & Jules,Goncourt Journals 1851-1870,6,,
Publicher: Doubleday Doran & Co.,NULL,10,,
Gonnerman Mark editor,A Sense Of The Whole: Reading Gary Snyders Mountains And Rivers Without End,2,,
Gooch Brad,City Poet: Life and Times of Frank OHara,1,,
Goodman Michael,William S. Burroughs: An Annotated Bibliography Of His Works And Criticism,4,,
Gordon William A.,Henry Miller And The Romantic Tradition,1,,
Gordon William A.,Mind and Art of Henry Miller,4,,
Gordon William A.,Writer And Critic: A Correspondence With Henry Miller,4,,
Gottesman Ronald ed.,Critical Essays on Henry Miller,4,,
Gottschall Claudia,Unspeakable Visions: Beat Consciousness And The Textual Representation,4,,
Govenar Alan,Beat Hotel,3,,
Goyen William,Three Women : A Memoir By William Goyen,1,,
Grace Nancy M.,Jack Kerouac and the Literary Imangination,3,,
Graff Jeffrey David,Mother As Muse: A Psychoanalytic Reading Of The Cathartic Works Of Kerouac Ginsberg And Corso,6,,
Gray Timothy,Gary Snyder and the Pacific Rim : Creating Counter-Cultural Community,1,,
Gray Timothy George,New Lyric Worlds: Gary Snyders Pacific Rim Communitas: 1930-1970,7,,
Graña César,Bohemian Versus Bourgeois: French Society and the French Man of Letters in the Nineteenth Century,3,,
Graña César & Marigay ed.,On Bohemia: The Code of the Self-Exiled,4,,
Grant Richard B.,Theophile Gautier,3,,
Grauerholz James editor,Last Words: The Final Journals of William S. Burroughs November 1996 - July 1997,2,,
Green Jane,Jay DeFeo And The Rose,8,,
Green Michelle,Dream At The End Of The World: Paul Bowles And The Literary Renegades In Tangier,9,,
Greenfield Robert,Timothy Leary: A Biography,2,,
Greenough Sarah,Beat Memories : the Photographs of Allen Ginsberg,9,,
Gruen John,New Bohemia,  the combine generation.,9,
Gruen John,New Bohemia,8,,
Guthrie Hammond,AsEverWas: Memoirs Of A Beat Survivor,3,,
Gysin Brion,Flicker,1,,
Gysin Brion,Last Museum,6,,
Gysin Brion,Here to Go: Planet R-101,9,,
Gysin Brion,Process (The),1,,
Hackman William,Out Of Sight: The Los Angees Art Scene Of The Sixties,1,,
Hahn Emily,Mabel: Biography of Mabel Dodge Luhan,9,,
Hahn Emily,Romantic Rebels: Informal History of Bohemianism in America,1,,
Hajdu David,Positively 4th Street: Lives And Times Of Joan Baez Bob Dylan Mimi Baez Fariña And Richard Fariña,6,,
Aurhor: Halasz Judith Rachel,Bohemian Ethos: Questioning Work And Making A Scene On The Lower East Side,9,,
Halasz Judith Rachel,Questioning Work Making A Scene: Bohemian Life On The Lower East Side Of New York City,8,,
Halper Jon editor,Gary Snyder: Dimensions Of A Life,8,,
Hamalian Linda,Life of Kenneth Rexroth,1,,
Hansen Arlen J.,Expatriate Paris: Cultural and Literary,6,,
Hanson Lawrence & Elizabeth,Verlaine: Fool of God,7,,
Hare Kenneth,Londons Latin Quarter,10,,
Harris Oliver,William Burroughs and the Secret of Fascination,9,,
Harris Russell,Against The American Dream: Essays On Charles Bukowski,3,,
Hart James D. ed.,A novelist in the making, a collection of student themes and the novels Blix and Vandover and the brute,6,
Hayes Kevin J ed.,Conversations with Jack Kerouac,3,,
Heath Josepg and Andrew Potter,Nation Of Rebels: Why Counterculture Became Consumer Culture,2,,
Hecht Ben,Letters from Bohemia,7,,
Heims Neil,Allen Ginsberg,3,,
Hell Richard,Go Now,4,,
Hemingway Ernest,Moveable Feast,10,,
Hemingway Ernest,On Paris,4,,
Hemmer Kurt editor,Encyclopedia Of Beat Literature,9,,
Hernandez Tim Z.,Mañana Means Heaven,6,,
Herring Phillip F.,Djuna: the Life and Work of Djuna Barnes,9,,
Hickey Morgen,THE BOHEMIAN REGISTER: An Annotated Bibliography of the Beat Literary Movement,5,,
Hicklin Aaron ed.,The Revolution Will Be Accessorized,10,,
Hipkiss Robert A.,Jack Kerouac : Prophet Of The New Romanticism,4,,
Hjortsberg William,Jubilee Hitchhiker: The Life And Times Of Richard Brautigan,3,,
Hoffman Abbie,Best Of Abbie Hoffman,9,,
Hoffman Abbie,Steal This Book,8,,
Holladay Hilary,American hipster: a life of Herbert Huncke: the Times Square hustler who inspired the Beat movement,7,,
Notes Paper,NULL,8,,
Holmes John Clellon,Displaced Person: Travel Essays of John Clellon Holmes,9,,
Holmes John Clellon,Get Home Free: A Novel,1,,
Holmes John Clellon,Get Home Free: A Novel,9,,
Holmes John Clellon,Go,1,,
Holmes John Clellon,Go,1,,
Holmes John Clellon,Horn (The),7,,
Holmes John Clellon,Night Music,5,,
Holmes John Clellon,Nothing More To Declare,10,,
Holmes John Clellon,Passionate Opinions: The Cultural Essays: Selected Essays By John Clellon Holmes Volume III,7,,
Holmes John Clellon,Representative Men: The Biographical Essays,9,,
Holmes John Clellon,Visitor: Jack Kerouac at Old Saybrook,1,,
Holton Robert,On The Road: Kerouacs Ragged American Journey,10,,
Hoptman Laura,Brion Gysin: Dream Machine,9,,
Horovitz Michael ed.,New Departures,1,,
Howard Gerald ed.,Sixties : art politics and media of our most explosive decade,5,,
Howells William Dean,The Coast of Bohemia,10,,
Hoyle Arthur,Unknown Henry Miller: A Seeker In Big Sur,5,,
Hrebeniak Michael,Action Writing : Jack Kerouacs Wild Form,1,,
Huddleston Sisley,Paris Salons Cafes Studios : Being Social Artitistic and Literary Memoirs,1,,
Hudson Theodore R.,From LeRoi Jones to Amiri Baraka: The Literary Works,3,,
Huebel Harry Russell,Jack Kerouac,1,,
Hummel William E.,Narrative Matters: Sexuality Technology And Narcotics In The Work Of William S. Burroughs,1,,
Huncke Herbert,From Dream To Dream,9,,
Huncke Herbert,Guilty of Everything: The Autobiography of Herbert Huncke,3,,
Huncke Herbert,Herbert Huncke Reader,2,,
Huncke Herbert,Hunckes Journal,6,,
Hunt Anthony,Genesis Structure And Meaning In Gary Snyders Mountains And Streams Without End,5,,
Hunt Tim,Kerouacs Crooked Road : Development of a Fiction,10,,
Hurewitz Daniel,Bohemian Los Angeles And The Making Of Modern Politics,1,,
Hutchison E. R.,Tropic of Cancer on Trial,5,,
Huxley Aldous,Doors Of Perception,5,,
Hyde Lewis editor,On The Poetry Of Allen Ginsberg,9,,
Ibargüen Raoul Richard,Narrative Detours: Henry Miller And The Rise Of New Critical Modernism,5,,
Jack Kerouac Subterranean Information Society,Dharma Beat,9,,
Jagger William Grant Jr.,War Of The Gods: Orgy And Community In Kerouacs Beat America,4,,
Jarry Alfred,Ubu Plays,2,,
Jarry Alfred,Ubu Roi,7,,
Jason Philip K. editor,Critical Response To Anais Nin,10,,
Joans Ted,Black Pow-Wow: Jazz Poems,9,,
Joans TedDou,Double Trouble: Poems,8,,
Joans Ted,Hipsters,2,,
Johnson Joyce,Come And Join The Dance,3,,
Johnson Joyce,In the Night Cafe,10,,
Johnson Joyce,Minor Characters,5,,
Johnson Joyce,Minor Characters,2,,
Johnson Joyce,Missing Men: A Memoir,3,,
Johnson Joyce,Voice Is All: The Lonely Victory Of Jack Kerouac,6,,
Johnson Rob,Lost Years of William S. Burroughs : Beats in South Texas,10,,
Johnson Rob,William S. Burroughs East Texas Idyll: Old Wizard Arch In Last Words,3,,
Johnson Ronna and Nancy M. Grace,Girls who wore black : Women writing the beat generation,3,,
Jones Hettie,How I Became Hettie Jones,10,,
Jones James T.,Jack Kerouacs Duluoz Legend : The Mythic Form of an Autobiographical Fiction,1,,
Jones James T.,Map of Mexico City Blues: Jack Kerouac as Poet,6,,
Jones Jim,Jack Kerouac in Seattle,5,,
Jones Jim,Jack Kerouacs Nine Lives: Essays By Jim Jones,3,,
Jones Jim,Use My Name: Jack Kerouacs Forgotten Families,2,,
Jones LeRoi,Baptism and the Toilet ,1,,
Jones LeRoi,Black Music,8,,
Jones LeRoi,Blues People: Negro Music In White Ameria,2,,
Jones LeRoi,Dead Lecturer,2,,
Jones LeRoi,Dutchman and The Slave,9,,
Jones LeRoi,Dutchman and The Slave,5,,
Jones LeRoi,Four Black Revolutionary Plays,7,,
Jones LeRoi,Home: Social Essays,4,,
Jones LeRoi ed.,Moderns (The),1,,
Jones LeRoi,Preface to a Twenty Volume Suicide Note....,10,,
Jones LeRoi,System of Dantes Hell,4,,
Jones LeRoi,Tales,2,,
Jong Erica,Devil At Large,4,,
Joyce William,Miller Bukowski & Their Enemies,9,,
Kamstra Jerry,Frisco Kid,1,,
Kandel Lenore,Collected Poems Of Lenore Kandel,2,,
Kashner Sam,When I was Cool: My Life At The Jack Kerouac School,6,,
Katz Eliot,Poetry And Politics Of Allen Ginsberg,2,,
Katz Eliot,Radical Eyes: Political Poems And The Works Of Allen Ginsberg,2,,
Kaufman Alan ed.,Outlaw Bible Of American Essays,7,,
Kaufman Alan ed.,Outlaw Bible Of American Literature,4,,
Kaufman Alan ed.,Outlaw Bible Of American Poetry,6,,
Kaufman Bob,Ancient Rain: Poems 1956-1978,2,,
Kaufman Bob,Cranial Guitar: Selected Poems By Bob Kaufman,2,,
Kaufman Bob,Solitudes Crowded With Loneliness,5,,
Kaufman Philip,Henry & June,2,,
Kearney Patrick,Paris Olympia Press,4,,
Kealing Bob,Kerouac in Florida: Where the Road Ends,9,,
Kerouac Jack,And the hippos were boiled in their tanks,10,,
Kerouac Jack,Atop an Underwood: Early Stories and Other Writings,6,,
Kerouac Jack,Beat Generation,7,,
Kerouac Jack,Big Sur,9,,
Kerouac Jack,Big Sur,6,,
Kerouac Jack,Big Sur,9,,
Kerouac Jack,Blues And Haikus,8,,
Kerouac Jack,Book Of Blues,7,,
Kerouac Jack,Book of Dreams,2,,
Kerouac Jack,Book Of Haikus,9,,
Kerouac Jack,Book of Sketches  1952-57,2,,
Kerouac Jack,Collected Poems,2,,
Kerouac Jack,Departed Angels: The Lost Paintings,9,,
Kerouac Jack,Desolation Angels,6,,
Kerouac Jack,Desolation Angels,6,,
Kerouac Jack,Desolation Angels,8,,
Kerouac Jack,Dharma Bums,6,,
Kerouac Jack,Dharma Bums,5,,
Kerouac Jack,Dharma Bums,2,,
Kerouac Jack,Dharma Bums,5,,
Kerouac Jack,Dharma Bums,5,,
Kerouac Jack,Dharma Bums,4,,
Kerouac Jack,Dharma Bums,3,,
Kerouac Jack,Dharma Bums (50th Anniversary ,7,,
Kerouac Jack,Dr. Sax,2,,
Kerouac Jack,Dr. Sax,4,,
Kerouac Jack,Dr. Sax,10,,
Kerouac Jack,Doctor Sax and the Great World Snake,6,,
Kerouac Jack and Johnson Joyce,Door Wide Open: A Beat Love Affair in Letters 1957-1958,10,,
Kerouac Jack,Empty Phantoms : Interviews and Encounters With Jack Kerouac,1,,
Kerouac Jack,En El Camino,8,,
Kerouac Jack,Good Blonde & Others,8,,
Kerouac Jack,Haunted Life And Other Writings,2,,
Kerouac Jack,Heaven & Other Poems,2,,
Kerouac Jack,Hymn: God Pay For Me,1,,
Kerouac Jack & Ginsberg Allen,Jack Kerouac And Allen Ginsberg : The Letters,5,,
Kerouac Jack,Jack Kerouac - Beat Generation,6,,
Kerouac Jack,Jack Kerouac Collection [sound recording],3,,
Kerouac Jack,Letters From Jack Kerouac To Ed White 1957-68,9,,
Kerouac Jack,Lonesome Traveler,7,,
Kerouac Jack,Maggie Cassidy,8,,
Kerouac Jack,Maggie Cassidy,6,,
Kerouac Jack,Mexico City Blues (242 Choruses),9,,
Kerouac Jack,Mexico City Blues (242 Choruses),10,,
Kerouac Jack,Old Angel Midnight,3,,
Kerouac Jack,On the Road,7,,
Kerouac Jack and Frshall Rose,On the Road: A Kinderguides Illustrated Learning Guide,10,,
Kerouac Jack,On the Road - 50th Anniversary ,5,,
Kerouac Jack,On the Road (40th Anniversary ,5,,
Kerouac Jack,On the Road: The Original Scroll,2,,
Kerouac Jack,Orpheus Emerged,4,,
Kerouac Jack and Allen Steve,Poetry For The Beat Generation,3,,
Kerouac Jack,Pomes All Sizes,7,,
Kerouac Jack,Pull My Daisy,5,,
Kerouac Jack,Road Novels 1957-1960,2,,
Kerouac Jack,San Francisco Blues,9,,
Kerouac Jack,Satori in Paris,3,,
Kerouac Jack,Satori in Paris and Pic,10,,
Kerouac Jack,Scattered Poems,7,,
Kerouac Jack,Scripture of the Golden Eternity,2,,
Kerouac Jack,Sea Is My Brother,7,,
Kerouac Jack,Some of the Dharma,2,,
Kerouac Jack,Subteraneans (The),3,,
Kerouac Jack,Subteraneans (The) and Pic,4,,
Kerouac Jack,Town and the City,6,,
Kerouac Jack,Tristessa,4,,
Kerouac Jack,Trip Trap: Haiku On The Road,1,,
Kerouac Jack,Unknown Kerouac: Rare Unpublished & Newly Translated Writings,7,,
Kerouac Jack,Vanity Of Duluoz,1,,
Kerouac Jack,Visions of America,8,,
Kerouac Jack,Visions of Cody,3,,
Kerouac Jack,Visions of Cody,5,,
Kerouac Jack,Visions Of Cody Visions Of Gerard Big Sur,2,,
Kerouac Jack,Visions of Gerard,7,,
Kerouac Jack,Visions of Gerard,8,,
Kerouac Jack,Wake up : a life of the Buddha,1,,
Kerouac Jack,Windblown World: The Journals of Jack Kerouac 1946-1954,5,,
Kerouac Jack,Youre A Genius All The Time : Belief And Technique For Modern Prose,4,,
Kerouac Jan,Baby Driver,1,,
Kerouac Jan,Train Song,4,,
Kerouac Joan Haverty,Nobodys Wife: The Smart Aleck And The King Of The Beats,2,,
Kerouac-Parker Edie,Youll Be Okay : My Life with Jack Kerouac,1,,
Kesey Ken,Further Inquiry,5,,
Kesey Ken,Keseys Garage Sale,8,,
Kesey Ken,Keseys Jail Journal,4,,
Kesey Ken,Last Go Round,3,,
Kesey Ken,Magic Trip: Ken Keseys Search For A Kool Place,9,,
Kherdian David ed,Beat Voices: An Anthology of Beat Poetry,10,,
Kilbane Aimee,Exploring The Underworld At Home And Abroad: Bohemians And Tourism In Nineteenth-Century Paris And Beyond,3,,
Killion Tom & Snyder Gary,Californias Wild Edge: The Coast In Poetry Prints And History,2,,
Killion Tom & Snyder Gary,Tamalpais Walking : Poetry History And Print,6,,
Klonsky Milton,Discourse on Hip,7,,
Knepler Henry translator and editor,Man About Paris: Confessions of Arsene Housssaye,4,,
Knight Arthur and Kit ed,Beat Road,5,,
Knight Arthur & Kit,Beat Vision (The),4,,
Knight Arthur & Kit editors,Kerouac and the Beats: Primary Sourcebook,5,,
Knight Brenda editor,Women of the Beat Generation,5,,
Knight Michael Muhammad,William S. Burroughs Vs The Quran,6,,
Kostelanetz Richard ed.,Avant-Garde Tradition In Literature,5,,
Kowalewski Michael,Temperamental Journeys: Essays on the Modern Literature Of Travel,6,,
Kramer Dale,Chicago Renaissance: Literary Life in the Midwest 1900-1930,8,,
Kramer Jane,Allen Ginsberg in America,10,,
Kraus Michelle P. ed,Allen Ginsberg: An Annotated Bibliography 1969-1977,5,,
Krokidas John,Kill Your Darlings,1,,
Krumhansl Aaron,Descriptive Bibliography of the Primary Publications of Charles Bukowski,5,,
Kushner-Locke Company And Tapestry Films,Last Time I Committed Suicide,5,,
Kyger Joanne,As Ever: Selected Poems,7,,
Kyger Joanne,Just Space: Poems 1979-1989,9,,
Kyger Joanne,On Time: Poems 2005-2014,4,,
La Fitte Anne-Gedeon,Bohemians,6,,
Laird Brandon Wade,When History Meets The Mass Media: The Beats In Postwar America,1,,
Lamantia Philip,Becoming Visible,9,,
Lamantia Philip,Bed Of Sphinxes New & Selected Poems 1943-1993,4,,
Lamantia Philip,Collected Poems Of Philip Lamantia,7,,
Lamantia Philip,Meadowlark West,1,,
Lamantia Philip,Selected Poems: 1943-1966,2,,
Lardas John,Bob Apocalypse : Religious Visions of Kerouac Ginsberg and Burroughs,10,,
Largely Literary,Jack Kerouac Journal,8,,
Larson Jonathan,Rent,10,,
Lattin Don,Harvard Psychedelic Club : how Timothy Leary Ram Dass Huston Smith and Andrew Weil killed the fifties and ushered in a new age for America    ,3,,
Lauridsen Inger Thorup ed.,Beat Generation And The Russian New Wave,1,,
Lawlor William,The beat generation : a bibliographical teaching guide,2,,
Leary Timothy, Design For Dying,2,,
Leary Timothy,Psychedelic Experience: Manual Based On The Tibetan Book Of The Dead,9,,
Leary Timothy editors,Psychedelic Reader,3,,
Lee A. Robert ed.,Beat Generation Writers,2,,
Leland John,Hip: the History,2,,
Leland John,Why Kerouac Matters : the Lessons of On The Road (Theyre Not What You Think) ,7,,
Lenrow Elbert,Kerouac Ascending: Memorabilia Of The Decade Of On The Road,5,,
Lerner Richard,What Happened to Kerouac?,7,,
Leslie Alfred,Pull My Daisy,8,,
Leslie Alfred,Pull My Daisy,4,,
Levertov Denise,Poems 1968-1972,8,,
Levin Joanna,Bohemia In America: 1958-1920,2,,
Lewis Oscar,Bay Window Bohemia: Account of the Brilliant Artistic World of Gaslit San Francisco,6,,
Lipton Lawrence,Bruno In Venice West & Other Poems,6,,
Lipton Lawrence,Erotic Revolution,10,,
Lipton Lawrence,Holy Barbarians,1,,
Lloyd Richard,Neo-Bohemia: Art And Commerce In The Postindustrial City,5,,
Locklin Gerald,Charles Bukowski : A Sure Bet,3,,
Lombreglia Ralph,Jack Kerouac ROMnibus,9,,
London Jack,The Road,6,,
Long John,Drugs and the Beats : the role of drugs in the lives and writings of Kerouac,3,,
Lord Sterling,Lord Of Publishing: A Memoir,8,,
Lottman Herbert R.,Man Rays Montparnasse,7,,
Lowey Ian,Graphic Art Of The Underground: A Countercultural History,9,,
Luhan Mabel Dodge,Edge Of Taos Desert: An Escape To Reality,6,,
Luhan Mabel Dodge,History Of Having A Great Many Times Not Continued To Be Friends The Correspondence Between Mabel Dodge & Gertrude Stein 1911-1934,5,,
Luhan Mabel Dodge,Movers And Shakers Volume Three Of Intimate Memories,8,,
Lyke Patricia Phelan,Female Characters In Jack Kerouacs Fiction,9,,
MacAdams Lewis,Birth of the Cool: Beat Bebop and the American Avant-Garde,3,,
Maeck Klaus,William S. Burroughs : Commissioner of Sewers,1,,
Maffina Stefano,Role Of Jack Kerouacs Odentity In The Development Of His Poetics,1,,
Maher Paul,Burning Furiously Beautiful: The True Story Of Jack Kerouacs On The Road,6,,
Maher Paul Jr. ed,Empty Phantoms: Interviews and Encounters with Jack Kerouac,4,,
Maher Paul Jr.,Kerouac: the Definitive Biography,2,,
Maher Paul Jr.,Jack Kerouacs American Journey: The Real Life Odyssey Of On The Road,7,,
Mailer Norman,Genius and Lust,7,,
Mailer Norman,White Negro: Superficial Reflections on the Hipster,8,,
Malone Aubrey,Hunchback Of East Hollywood: A Biography Of Charles Bukowski,1,,
Mandel George,Beatville U.S.A.,3,,
Martin Jay,Always Merry & Bright: Life of Henry Miller,3,,
Martino John R.,Remember I Was The Movies: The Cinematic Prose Of William S. Burroughs,8,,
Maynard Joe,William S. Burroughs : a bibliography 1953-73 : Unlocking Inspector Lees Word Hoard,10,,
Maynard John Arthur,Venice West: Beat Generation in Southern California,10,,
Maynard John Arthur,Venice West: Beat Generation in Southern California,1,,
McClanahan Ed editor,Spit In The Ocean #7: All About Kesey,7,,
McClure Joanna,Catching Light: Collected Poems Of Joanna McClure,10,,
McClure Joanna,Wolf Eyes,9,,
McClure Michael,Adept,5,,
McClure Michael,Antechamber & Other Poems,3,,
McClure Michael,Beard & VKTMS: Two Plays,2,,
McClure Michael,Gargoyle Cartoons,8,,
McClure Michael,General Gorgeous,8,,
McClure Michael,Ghost Tantras,3,,
McClure Michael,Gorf Or Gorf And The Blind Dyke,9,,
McClure Michael,Hail Thee Who Pray,7,,
McClure Michael,Huge Dreams: San Francisco And Beat Poems,6,,
McClure Michael,Hymns To St. Geryon & Dark Brown,6,,
McClure Michael,Jaguar Skies,7,,
McClure Michael,Josephine: The Mouse Singer,4,,
McClure Michael,Lighting The Corners On Art Nuture and the Visionary,3,,
McClure Michael,Little Odes & The Raptors: Poems And A Play,10,,
McClure Michael,Love Lion Book,6,,
McClure Michael,Mammals,5,,
McClure Michael,Man of Moderation: Two Poems,8,,
McClure Michael,Meat Science Essays,8,,
McClure Michael,Mysteriosos And Other Poems,7,,
McClure Michael,New Book/A Book Of Torture,8,,
McClure Michael,Of Indigo And Saffron: New And Selected Poems,7,,
